train_loss,val_map50
2.817527662624012,0.0
1.2290779927914792,0.0
0.9371331957253543,0.18238958716392517
0.7981222746047106,0.2316916137933731
0.685940798710693,0.28740206360816956
0.5932386544617739,0.38227009773254395
0.5418566792187366,0.43239331245422363
0.4957110827619379,0.48098069429397583
0.4744923500852151,0.49343860149383545
0.43135045502673497,0.5217099785804749
0.416741771962155,0.5499782562255859
0.40059642104262655,0.569326639175415
0.38654657334766607,0.5785764455795288
0.37086895091289823,0.5835000276565552
0.3699112380431457,0.6147152185440063
0.3609506765549833,0.620140552520752
0.3532784005457705,0.6320816278457642
0.3441589789634401,0.6339977979660034
0.3433622479100119,0.630977213382721
0.3451137573204257,0.6312332153320312
